Preprocessing,Model,Train Size,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Train Time
7days_ln_whi,RF,320000,40000,40000,0.933925,0.9436254436254436,0.9371464932126696,0.917172438414852,0.9326481250843216,0.933192663107841,0.900211653989079,0.933925,183.21653056144717
7days_ln_whi,rnn,320000,40000,40000,0.933025,0.9468747860614772,0.947912975692722,0.8964722566920759,0.9304200061487584,0.9323334024820004,0.8988270171861241,0.933025,163.25379991531372
7days_ln_whi,transformer,320000,40000,40000,0.94885,0.954936953076552,0.9627130681818182,0.9239940387481372,0.9472146866688358,0.947505233901425,0.9228534374062584,0.94885,1079.0739376544952
7days_ln_pheno_peak,atbi-gru,320000,40000,40000,0.927,0.9387587340731608,0.94661089052751,0.887325190299168,0.9242316049666128,0.9263098730774346,0.88972561966762,0.927,262.4252378940582
7days_ln_pheno_peak,atbi-lstm,320000,40000,40000,0.937225,0.9476077366813708,0.953091684434968,0.9036176864671728,0.934772369194504,0.9362262110794456,0.9051362550428595,0.937225,287.46441435813904
7days_ln_pheno_peak,atbi-rnn,320000,40000,40000,0.93495,0.943696617697301,0.9556240590723348,0.8984758234057463,0.932598833391794,0.9342181045988482,0.9018126126598974,0.93495,374.192528963089
7days_ln_pheno_peak,bi-gru,320000,40000,40000,0.935325,0.9476261733097536,0.9507490107405314,0.8995155212632334,0.9326302351045062,0.9345237219866837,0.9022204948892888,0.935325,297.34434270858765
7days_ln_pheno_peak,bi-lstm,320000,40000,40000,0.93555,0.9476794949291424,0.9538713817196636,0.8960757780784845,0.93254221824243,0.9346500860379988,0.9024936299131918,0.93555,317.7686350345612
7days_ln_pheno_peak,bi-rnn,320000,40000,40000,0.9391,0.9508786213447316,0.954651739530929,0.9038392536777896,0.9364565381844834,0.9380971008050302,0.9079363452768006,0.9391,387.1978087425232
7days_ln_pheno_peak,gru,320000,40000,40000,0.93635,0.9498323181164876,0.95247889921271,0.8987599645704163,0.933690393966538,0.935793412741476,0.9038453336858954,0.93635,144.03486514091492
7days_ln_pheno_peak,lstm,320000,40000,40000,0.934375,0.9454607977991748,0.949219299479533,0.9012631204412026,0.9319810725733034,0.933535780974456,0.900867555791664,0.934375,138.12783885002136
7days_ln_pheno_peak,RF,320000,40000,40000,0.938675,0.9501806038301642,0.9415183951229886,0.9200534759358288,0.937250824962994,0.9373582326029348,0.9074131396539512,0.938675,182.26021003723145
7days_ln_pheno_peak,rnn,320000,40000,40000,0.93805,0.9503424657534246,0.9533587355348576,0.9027431421446384,0.9354814478109734,0.936784860763404,0.9064179756974734,0.93805,159.7159104347229
7days_ln_pheno_peak,transformer,320000,40000,40000,0.949375,0.9607084690553744,0.9593298009451524,0.9222871304655692,0.9474418001553656,0.948058447957464,0.923570463650554,0.949375,1078.0790672302246
raw,atbi-rnn,320000,40000,40000,0.9294,0.9468431771894094,0.9456249552836804,0.8865668998494642,0.9263450107741846,0.9283400646661908,0.8933321904063877,0.9294,211.9590413570404
raw,gru,320000,40000,40000,0.929825,0.9518407825023774,0.9443565780014378,0.8835327234342013,0.9265766946460054,0.9294116617915132,0.8939736065405223,0.929825,95.569997549057
raw,lstm,320000,40000,40000,0.927875,0.9460535346602608,0.9464665061606004,0.8812345242306332,0.9245848550171648,0.9271955957947244,0.8910254158778451,0.927875,106.00063800811768
raw,RF,320000,40000,40000,0.936625,0.9456290709633184,0.9388188641835434,0.922252722925706,0.9355668860241894,0.9352484669724538,0.9043890181610966,0.936625,140.95639300346377
raw,rnn,320000,40000,40000,0.933175,0.948271186440678,0.949346405228758,0.8928763200286379,0.9301646372326914,0.9319610254904532,0.8989815503576971,0.933175,108.33717036247252
raw,transformer,320000,40000,40000,0.9477,0.9579641458891408,0.9565000356557084,0.9238045191802418,0.9460895669083637,0.9464013944695018,0.921119188627902,0.9477,420.7680881023407
raw_whi,atbi-rnn,320000,40000,40000,0.919525,0.9319593257353443,0.9348413714610898,0.8843121622818673,0.9170376198261004,0.9190126363829672,0.878427906045936,0.919525,213.2379446029663
raw_whi,gru,320000,40000,40000,0.92235,0.9362344704509576,0.937570303712036,0.8849826001606139,0.9195957914412024,0.9220421079431173,0.882627344272461,0.92235,95.95996499061584
raw_whi,lstm,320000,40000,40000,0.91705,0.9333832845174036,0.9275455062571104,0.8826299422478898,0.9145195776741346,0.9176083093205032,0.8746041346208401,0.91705,100.08496475219728
raw_whi,RF,320000,40000,40000,0.93385,0.9446522582432808,0.93402995471961,0.9197073779998216,0.932796530320904,0.9331447544932052,0.9001283427228403,0.93385,177.3942666053772
raw_whi,rnn,320000,40000,40000,0.92755,0.9454244762954797,0.9369432559444484,0.8925296055560502,0.9249657792653262,0.9271914987392756,0.8905195863647506,0.92755,117.55531239509584
raw_whi,transformer,320000,40000,40000,0.946725,0.956867903627804,0.9571357954946684,0.9209302325581395,0.9449779772268708,0.9454792159232956,0.9196377089167492,0.946725,422.122848033905
ln,atbi-rnn,320000,40000,40000,0.919125,0.9245192636693356,0.9346167308365418,0.8920915150423347,0.9170758365160708,0.9184971330670412,0.8777365296460112,0.919125,203.1853427886963
ln,gru,320000,40000,40000,0.914875,0.9243852459016394,0.9281764038570618,0.8858386638237384,0.9128001045274798,0.9154040030050026,0.8713545215043328,0.914875,93.27959823608398
ln,lstm,320000,40000,40000,0.9067,0.9191136114160264,0.9200763196947211,0.8738578905349064,0.9043492738818848,0.9075637179223688,0.8589822173600434,0.9067,95.5567524433136
ln,RF,320000,40000,40000,0.928925,0.940009511515728,0.9333904476333262,0.9089054461593046,0.9274351351027864,0.9281462625944108,0.8926812522911047,0.928925,162.7953803539276
ln,rnn,320000,40000,40000,0.914325,0.9259965928449744,0.9270566467406774,0.8832608888494633,0.9121047094783716,0.9143020576538792,0.8705487347155881,0.914325,109.91328191757202
ln,transformer,320000,40000,40000,0.945225,0.9528960701081748,0.9554816335197112,0.9224145583666222,0.943597420664836,0.943645036771936,0.9173291940024296,0.945225,381.5360262393952
7days_ln,atbi-gru,320000,40000,40000,0.9245,0.9392272696407958,0.9414738341046636,0.8839508371927325,0.9215506469793974,0.9242739519047874,0.8858574183519263,0.9245,259.4775137901306
7days_ln,atbi-lstm,320000,40000,40000,0.935275,0.9478183559020654,0.9467920819879264,0.9040603665109594,0.9328902681336504,0.934563401297667,0.902155816503192,0.935275,282.117550611496
7days_ln,atbi-rnn,320000,40000,40000,0.937575,0.9500919180227412,0.95301727201649,0.901903237282106,0.9350041424404456,0.9366345283027152,0.9056858487215556,0.937575,358.4954941272736
7days_ln,bi-gru,320000,40000,40000,0.933625,0.9473792960947724,0.9508473384431476,0.8941385435168739,0.9307883926849312,0.9332732684241484,0.89970207957151,0.933625,256.22496128082275
7days_ln,bi-lstm,320000,40000,40000,0.93535,0.9453071320599148,0.9517618641659562,0.9022867194371152,0.933118571887662,0.934694646353376,0.9024053562355834,0.93535,282.1930375099182
7days_ln,bi-rnn,320000,40000,40000,0.94345,0.9564415921349082,0.9572631429986556,0.9090909090909092,0.9409318814081576,0.9426644749634386,0.9145519720730082,0.94345,357.98358249664307
