Preprocessing,Model,Target Site,Test Size,Validation Size,Overall Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy,Recall,Precision,Kappa,F1 Score,Transfer Strategy,Train Site
7days_ln_pheno_peak,atbi-gru,Site A to D,4000.0,0.0,0.7690625,0.3705661664392906,0.4425,0.9610718379824226,0.5914733785190243,0.7688957712216368,0.4673442550356107,0.7690625,Direct,
7days_ln_pheno_peak,atbi-gru,Site A to E,4000.0,0.0,0.6993125,0.4108761329305136,0.5343980343980343,0.8350480769230769,0.5928931962089061,0.6069992814846197,0.3818801879677155,0.6993125,Direct,
7days_ln_pheno_peak,atbi-gru,Site A to F,4000.0,0.0,0.94478125,0.5704732510288066,0.706060606060606,0.9809298440979954,0.7530139035395057,0.7693003481282796,0.6984679230581416,0.94478125,Direct,
7days_ln_pheno_peak,atbi-gru,Site D to E,4000.0,0.0,0.6916875,0.2503776435045317,0.3961916461916462,0.9073557692307692,0.5179480201024763,0.617066216563356,0.2892018553456152,0.6916875,Direct,
7days_ln_pheno_peak,atbi-lstm,Site A to B,4000.0,0.0,0.83865625,0.7240631505898683,0.8921378091872791,0.9153190559440558,0.8442254155349772,0.8437399816077578,0.7585469196774105,0.83865625,Direct,
7days_ln_pheno_peak,atbi-lstm,Site A to D,4000.0,0.0,0.77709375,0.3980218281036834,0.4101923076923077,0.9751623996943064,0.5937235395188797,0.783567005808219,0.4827125741995731,0.77709375,Direct,
7days_ln_pheno_peak,atbi-lstm,Site A to E,4000.0,0.0,0.6772812500000001,0.448262839879154,0.4843366093366093,0.7939423076923077,0.5756498943035953,0.5892342116505975,0.3521544775053891,0.6772812500000001,Direct,
7days_ln_pheno_peak,atbi-lstm,Site A to F,4000.0,0.0,0.94746875,0.5859053497942387,0.731060606060606,0.9815562360801784,0.7660791595739628,0.7880788665812373,0.7114389090419998,0.94746875,Direct,
7days_ln_pheno_peak,atbi-lstm,Site D to E,4000.0,0.0,0.6798125,0.2074521651560926,0.3126535626535626,0.9158173076923076,0.479500620967766,0.5977577545754981,0.2383106866640224,0.6798125,Direct,
7days_ln_pheno_peak,atbi-rnn,Site A to B,4000.0,0.0,0.83415625,0.7169500346981262,0.8886925795053003,0.9153190559440558,0.8400405940097898,0.8413980607709767,0.7520718297347087,0.83415625,Direct,
7days_ln_pheno_peak,atbi-rnn,Site A to D,4000.0,0.0,0.7651874999999999,0.3405525238744883,0.4028846153846153,0.9731085212074894,0.5721446802130974,0.7935453893395775,0.4433681494273532,0.7651874999999999,Direct,
7days_ln_pheno_peak,atbi-rnn,Site A to E,4000.0,0.0,0.7074687500000001,0.3955186304128902,0.5469901719901721,0.8523076923076924,0.5983881520324119,0.6204906169273016,0.3894765095620729,0.7074687500000001,Direct,
7days_ln_pheno_peak,atbi-rnn,Site A to F,4000.0,0.0,0.954,0.5951646090534979,0.7007575757575757,0.989734131403118,0.7626059678766826,0.824417493094626,0.7378182174596071,0.954,Direct,
7days_ln_pheno_peak,atbi-rnn,Site D to E,4000.0,0.0,0.6910625,0.2194108761329304,0.3685503685503685,0.921298076923077,0.5025041095962546,0.6284489870969757,0.2682684913756228,0.6910625,Direct,
7days_ln_pheno_peak,bi-gru,Site A to B,4000.0,0.0,0.835125,0.7198993754337266,0.8871024734982332,0.9147727272727272,0.8408746454657564,0.8429458948909087,0.7535026427774946,0.835125,Direct,
7days_ln_pheno_peak,bi-gru,Site A to D,4000.0,0.0,0.7805000000000001,0.3732946793997271,0.4578846153846153,0.9745414596866642,0.602446380354728,0.8093168309136562,0.4889673682344268,0.7805000000000001,Direct,
7days_ln_pheno_peak,bi-gru,Site A to E,4000.0,0.0,0.7053125,0.4281218529707955,0.5107493857493858,0.842451923076923,0.5934396315854019,0.619063740750394,0.3880035394183198,0.7053125,Direct,
7days_ln_pheno_peak,bi-gru,Site A to F,4000.0,0.0,0.94884375,0.5905349794238683,0.6787878787878787,0.9856277839643652,0.7515574152465289,0.8031469598483472,0.7106609456643862,0.94884375,Direct,
7days_ln_pheno_peak,bi-gru,Site D to E,4000.0,0.0,0.694,0.1694360523665659,0.3433660933660933,0.9489903846153844,0.487846660146509,0.6613071342925992,0.2469685106923236,0.694,Direct,
7days_ln_pheno_peak,bi-lstm,Site A to B,4000.0,0.0,0.8279999999999998,0.70706106870229,0.8787102473498232,0.9177229020979024,0.834475601813017,0.8347965115919278,0.7428980754790164,0.8279999999999998,Direct,
7days_ln_pheno_peak,bi-lstm,Site A to D,4000.0,0.0,0.768125,0.3608458390177353,0.3788461538461538,0.9797955674436376,0.572094396922993,0.7826304283480565,0.451614861142343,0.768125,Direct,
7days_ln_pheno_peak,bi-lstm,Site A to E,4000.0,0.0,0.6733750000000001,0.4454934541792547,0.4699017199017198,0.7924038461538461,0.5695790256723036,0.5849746916818549,0.3418546087522303,0.6733750000000001,Direct,
7days_ln_pheno_peak,bi-lstm,Site A to F,4000.0,0.0,0.94821875,0.5781893004115226,0.7303030303030305,0.983226614699332,0.7641842871579219,0.7906529843456638,0.7141834959059478,0.94821875,Direct,
7days_ln_pheno_peak,bi-lstm,Site D to E,4000.0,0.0,0.68625,0.23539778449144,0.3052825552825552,0.9175,0.4874463525596456,0.6161382469663673,0.2556431367556776,0.68625,Direct,
7days_ln_pheno_peak,bi-rnn,Site A to B,4000.0,0.0,0.8449374999999999,0.7316099930603748,0.9,0.9192526223776224,0.850360332787318,0.8519331939590951,0.7681067201199424,0.8449374999999999,Direct,
7days_ln_pheno_peak,bi-rnn,Site A to D,4000.0,0.0,0.7943749999999999,0.406718963165075,0.4963461538461538,0.9777416889568208,0.6260007052127168,0.8328237355172646,0.5253442985407311,0.7943749999999999,Direct,
7days_ln_pheno_peak,bi-rnn,Site A to E,4000.0,0.0,0.7151562499999999,0.4194360523665659,0.5328624078624079,0.8558653846153845,0.6039388089444736,0.6340485081843699,0.4036765208171083,0.7151562499999999,Direct,
7days_ln_pheno_peak,bi-rnn,Site A to F,4000.0,0.0,0.9536875,0.5925925925925926,0.703030303030303,0.9894905345211582,0.7615563501258565,0.8387750719769045,0.7324296228813895,0.9536875,Direct,
7days_ln_pheno_peak,bi-rnn,Site D to E,4000.0,0.0,0.69196875,0.1496727089627391,0.3839066339066339,0.9473557692307693,0.492802126659755,0.6520651258616726,0.2434641314050233,0.69196875,Direct,
7days_ln_pheno_peak,gru,Site A to B,4000.0,0.0,0.834125,0.7137404580152671,0.8946996466431096,0.9097465034965035,0.8396969756308932,0.8415435327745876,0.7518605868868169,0.834125,Direct,
7days_ln_pheno_peak,gru,Site A to D,4000.0,0.0,0.7900625,0.3669849931787176,0.5221153846153846,0.975401222774169,0.6212848656299664,0.8193912534542437,0.5168281030057792,0.7900625,Direct,
7days_ln_pheno_peak,gru,Site A to E,4000.0,0.0,0.6775625,0.4341641490433031,0.5205773955773957,0.7939903846153846,0.583415741087569,0.5916476217029758,0.3525045119389312,0.6775625,Direct,
7days_ln_pheno_peak,gru,Site A to F,4000.0,0.0,0.948125,0.5699588477366255,0.6946969696969697,0.9853841870824054,0.750446680642383,0.7953448342292244,0.7080334286862857,0.948125,Direct,
7days_ln_pheno_peak,gru,Site D to E,4000.0,0.0,0.6954999999999999,0.1680513595166162,0.3832923832923833,0.9456730769230768,0.4994671708606754,0.6565975615218229,0.2578035664367083,0.6954999999999999,Direct,
7days_ln_pheno_peak,lstm,Site A to B,4000.0,0.0,0.82728125,0.7013358778625955,0.8863074204946996,0.9125874125874124,0.8334712550057949,0.835394781470542,0.7418091958653059,0.82728125,Direct,
7days_ln_pheno_peak,lstm,Site A to D,4000.0,0.0,0.79896875,0.3958049113233287,0.5413461538461538,0.9757833397019487,0.6376284636756804,0.816057257205208,0.5436121739130619,0.79896875,Direct,
7days_ln_pheno_peak,lstm,Site A to E,4000.0,0.0,0.6725,0.4097432024169184,0.5030712530712531,0.799375,0.5709891659797249,0.5796438094907383,0.3376107972734394,0.6725,Direct,
7days_ln_pheno_peak,lstm,Site A to F,4000.0,0.0,0.9415,0.5828189300411523,0.7166666666666667,0.9759187082405344,0.7578840992481387,0.7616200712892135,0.6851405231150367,0.9415,Direct,
7days_ln_pheno_peak,lstm,Site D to E,4000.0,0.0,0.69378125,0.2250755287009063,0.3531941031941031,0.9264423076923078,0.5023896473481065,0.635868366358972,0.2735639672983224,0.69378125,Direct,
7days_ln_pheno_peak,rnn,Site A to B,4000.0,0.0,0.8430625,0.7251908396946565,0.9057420494699644,0.91444493006993,0.8483184357272305,0.8491845010255,0.7650920760564508,0.8430625,Direct,
